timestamp(ms), SignalACIFRNAOFILT,SignalStdIFR,Count, SignalACIFR,
"1713735442.303","2952",,,,
"1713735442.304",,"27.69",,,
"1713735442.305",,,"931","2944",
"1713735442.309","2905","27.61","932","2947",
"1713735442.315","2908","27.56","933","2949",
"1713735442.321","2955","27.68","934","2950",
"1713735442.326","2927",,,,
"1713735442.327",,"27.73","935","2949",
"1713735442.332","2921","27.78",,,
"1713735442.333",,,"936","2948",
"1713735442.338","2968","27.85","937","2947",
"1713735442.343","2957",,,,
"1713735442.344",,"27.67","938","2943",
"1713735442.349","2920","27.52",,,
"1713735442.35",,,"939","2942",
"1713735442.355","2953","27.58","940","2940",
"1713735442.366","2968",,,,
"1713735442.367","2906","27.08","942","2940",
"1713735442.373","2935","27.24",,,
"1713735442.374",,,"943","2940",
"1713735442.378","2967","27.27","944",,
"1713735442.379",,,,"2940",
"1713735442.383","2889",,,,
"1713735442.384",,"26.91","945","2943",
"1713735442.389","2906","26.9",,,
"1713735442.39",,,"946","2945",
"1713735442.419","2952","27.07","947",,
"1713735442.42","2879","27.02",,"2948",
"1713735442.421","2903","26.69","949","2950",
"1713735442.422","2952","26.82","950","2952",
"1713735442.423","2895","26.98","951","2951",
"1713735442.425","2906","26.9",,,
"1713735442.426",,,"952","2949",
"1713735442.429","2955","26.92",,,
"1713735442.43",,,"953","2948",
"1713735442.435","2935","27.12","954",,
"1713735442.436",,,,"2943",
"1713735442.441","2920","27.23","955","2941",
"1713735442.446","2957",,,,
"1713735442.447",,"27.31","956","2938",
"1713735442.458","2956","27.25","957",,
"1713735442.459","2920","27.18","958","2933",
"1713735442.463","2944",,,,
"1713735442.464",,"27.36","959","2932",
"1713735442.469","2968",,,,
"1713735442.471",,"27.27","960","2931",
"1713735442.475","2908",,,,
"1713735442.476",,"26.87","961","2933",
"1713735442.481","2924","27.06","962","2934",
"1713735442.486","2958","27.14",,,
"1713735442.487",,,"963",,
"1713735442.488",,,,"2936",
"1713735442.492","2894","26.88","964","2941",
"1713735442.497","2908",,,,
"1713735442.498",,"26.85","965","2943",
"1713735442.503","2943","27.04","966",,
"1713735442.504",,,,"2946",
"1713735442.509","2893","26.99","967","2948",
"1713735442.515","2894","26.85","968","2948",
"1713735442.52","2942","26.92","969","2949",
"1713735442.526","2920","27.01","970","2947",
"1713735442.532","2908","27.05",,,
"1713735442.533",,,"971","2947",
"1713735442.537","2956",,,,
"1713735442.538",,"27.11","972","2946",
"1713735442.549","2910","26.97","974","2941",
"1713735442.555","2954","27.04","975","2939",
"1713735442.56","2967",,,,
"1713735442.561",,"26.84","976","2937",
"1713735442.566","2906","26.44","977","2939",
"1713735442.572","2936","26.63","978","2940",
"1713735442.577","2960","26.67",,,
"1713735442.578",,,"979","2940",
"1713735442.583","2887",,,,
"1713735442.584",,"26.36","980","2943",
"1713735442.589","2908","26.4","981",,
"1713735442.59",,,,"2946",
"1713735442.595","2954","26.65","982","2949",
"1713735442.601","2878","26.46","983","2952",
"1713735442.606","2903",,,,
"1713735442.607",,"26.2","984","2954",
"1713735442.612","2953","26.56","985","2955",
"1713735442.618","2894","26.51","986","2955",
"1713735442.623","2909",,,,
"1713735442.624",,"26.4","987","2954",
"1713735442.629","2955","26.58",,,
"1713735442.63",,,"988","2953",
"1713735442.64","2926",,,,
"1713735442.641","2920","26.79","990","2947",
"1713735442.646","2957",,,,
"1713735442.647",,"26.98","991","2945",
"1713735442.652","2955","26.87","992","2940",
"1713735442.658","2920","26.67","993","2940",
"1713735442.664","2951","26.9",,,
"1713735442.665",,,"994","2939",
"1713735442.669","2958","26.71",,,
"1713735442.671",,,"995","2937",
"1713735442.675","2906","26.42","996",,
"1713735442.676",,,,"2939",
"1713735442.681","2925","26.67","997","2940",
"1713735442.686","2954",,,,
"1713735442.687",,"26.88","998","2943",
"1713735442.692","2891","26.64","999","2948",
"1713735442.698","2904","26.71","1000","2951",
"1713735442.703","2941",,,,
"1713735442.704",,"26.96","1001","2954",
"1713735442.709","2888",,,,
