timestamp(ms),SignalStdIFR,Count, SignalACIFR, SignalACIFRNAOFILT,SignalS> SignalACIFRNAOFILT,
"1713735081.536","11.92","15","2393",,,
"1713735081.541","11.87","16","2392","2348",,
"1713735081.547","11.97","17","2393","2362",,
"1713735081.552",,,,"2348",,
"1713735081.553","11.98","18","2391",,,
"1713735081.558","11.92","19","2390","2350",,
"1713735081.564","12","20","2390","2361",,
"1713735081.569",,,,"2349",,
"1713735081.57","12","21","2388",,,
"1713735081.575","11.95",,,"2350",,
"1713735081.576",,"22","2387",,,
"1713735081.581","12","23","2387","2364",,
"1713735081.587","12","24","2385","2351",,
"1713735081.593","11.95","25","2384","2360",,
"1713735081.598","12.05","26",,"2365",,
"1713735081.599",,,"2384",,,
"1713735081.604","12.04","27","2382","2361",,
"1713735081.61","12.04","28","2382","2360",,
"1713735081.615",,,,"2366",,
"1713735081.616","12.04","29","2382",,,
"1713735081.621","12.11","30","2379","2360",,
"1713735081.627","12.2","31",,"2361",,
"1713735081.628",,,"2377",,,
"1713735081.633","12.27","32","2375","2364",,
"1713735081.638",,,,"2361",,
"1713735081.639","12.57","33","2371",,,
"1713735081.644","12.98","34",,"2361",,
"1713735081.645",,,"2367",,,
"1713735081.65","13.27",,,"2363",,
"1713735081.651",,"35","2364",,,
"1713735081.656","13.84","36","2359","2364",,
"1713735081.661",,,,"2364",,
"1713735081.662","14.4","37",,,,
"1713735081.663",,,"2356",,,
"1713735081.667","14.72","38","2353","2361",,
"1713735081.673","15.28","39","2348","2361",,
"1713735081.679","15.59","40","2346","2362",,
"1713735081.685","15.86","41",,"2360",,
"1713735081.686",,,"2344",,,
"1713735081.691","16.14","42",,"2360",,
"1713735081.692",,,"2342",,,
"1713735081.696","16.38","43","2342","2363",,
"1713735081.701",,,,"2360",,
"1713735081.702","16.58",,,,,
"1713735081.703",,"44","2342",,,
"1713735081.707","16.8",,,"2360",,
"1713735081.708",,"45","2342",,,
"1713735081.713","16.95","46","2344","2365",,
"1713735081.718",,,,"2359",,
"1713735081.719","17.09",,,,,
"1713735081.72",,"47","2344",,,
"1713735081.724","17.27",,,"2351",,
"1713735081.725",,"48","2344",,,
"1713735081.73","17.29",,,"2363",,
"1713735081.731",,"49","2347",,,
"1713735081.736","17.32","50","2349","2350",,
"1713735081.741",,,,"2350",,
